AAR,ACE,AGA,AGP,AHO,ALC,AOI,ATH,BCN,BDS,BES,BGY,BHX,BIQ,BLL,BLQ,BOD,BOH,BRE,BRI,BRQ,BRS,BRU,BSL,BTS,BUD,BVA,BVE,BZG,BZR,CAG,CCF,CFE,CFU,CGN,CHQ,CIA,CIY,CRL,CRV,CTA,CUF,CWL,DLE,DNR,DOL,DTM,DUB,EBU,EDI,EFL,EGC,EIN,EMA,ESU,FAO,FCO,FEZ,FKB,FMM,FMO,FNI,FSC,FUE,GDN,GNB,GOA,GPA,GRO,HAU,HHN,IBZ,KGS,KIR,KLX,KRK,KTW,KUN,LBA,LCJ,LDE,LDY,LEI,LEJ,LGW,LIG,LIL,LIS,LNZ,LPA,LPL,LPP,LRH,LTN,LUZ,MAD,MAH,MAN,MJV,MLA,MPL,MRS,MST,MXP,NCE,NCL,NDR,NOC,NRN,NTE,NUE,NYO,OPO,ORK,OSI,OSR,OTP,OUD,PDV,PEG,PFO,PGF,PIK,PIS,PMF,PMI,PMO,POZ,PRG,PSA,PSR,PUY,RAK,RBA,RDZ,REU,RHO,RIX,RJK,RYG,RZE,SCQ,SDR,SFT,SKG,SNN,STN,SUF,SVQ,SXB,SXF,SZG,SZZ,TFN,TFS,TGD,TLL,TLN,TMP,TNG,TPS,TRF,TRN,TRS,TSF,TUF,VLC,VLL,VNO,VRN,VST,VXO,WMI,WRO,XCR,XRY,ZAD,ZAZ,ZTH,GLA,CPH,HAM,GOT,PDL,LRT,JTR,STR,CDT,VDA,SOF,AMS
Aarhus,Lanzarote,Agadir,Malaga,Alghero,Alicante,Ancona,Athens,Barcelona El Prat,Brindisi,Brest,Milan Bergamo,Birmingham,Biarritz,Billund,Bologna,Bordeaux,Bournemouth,Bremen,Bari,Brno,Bristol,Brussels Zaventem,Basel,Bratislava,Budapest,Paris Beauvais,Brive,Bydgoszcz,Beziers,Cagliari,Carcassonne,Clermont Ferrand,Corfu,Cologne,Chania,Rome Ciampino,Comiso,Brussels Charleroi,Crotone,Catania,Cuneo,Cardiff,Dole,Dinard,Deauville-Normandy,Dortmund,Dublin,St Etienne,Edinburgh,Kefalonia,Bergerac,Eindhoven,East Midlands,Essaouira,Faro,Rome Fiumicino,Fez,Baden-Baden,Memmingen (Munich West),Münster,Nimes,Figari,Fuerteventura,Gdansk,Grenoble,Genoa,Patras (Araxos),Girona Barcelona,Haugesund,Frankfurt Hahn,Ibiza,Kos,Kerry,Kalamata,Krakow,Katowice,Kaunas,Leeds Bradford,Lodz,Lourdes,Derry,Almeria,Leipzig,London Gatwick,Limoges,Lille,Lisbon,Linz,Gran Canaria,Liverpool,Lappeenranta,La Rochelle,London Luton,Lublin,Madrid,Menorca,Manchester,Murcia,Malta,Montpellier,Marseille Provence,Maastricht,Milan Malpensa,Nice,Newcastle,Nador,Knock Ireland West,Dusseldorf Weeze,Nantes,Nuremberg,Stockholm Skavsta,Porto,Cork,Osijek,Ostrava,Bucharest (Otopeni),Oujda,Plovdiv,Perugia,Paphos,Perpignan,Glasgow Prestwick,Poitiers,Parma,Palma,Palermo,Poznan,Prague,Pisa,Pescara,Pula,Marrakesh,Rabat,Rodez,Reus Barcelona,Rhodes,Riga,Rijeka,Oslo Rygge,Rzeszow,Santiago,Santander,Skelleftea,Thessaloniki,Shannon,London Stansted,Lamezia,Seville,Strasbourg,Berlin Schonefeld,Salzburg,Szczecin,Tenerife North,Tenerife Sth,Podgorica,Tallinn,Toulon,Tampere,Tangier,Trapani,Oslo Torp,Turin,Trieste,Venice Treviso,Tours Loire Valley,Valencia,Valladolid,Vilnius,Verona,Stockholm Vasteras,Växjö,Warsaw Modlin,Wroclaw,Paris Vatry,Jerez,Zadar,Zaragoza,Zakynthos,Glasgow International,Copenhagen,Hamburg,Gothenburg Landvetter,Ponta Delgada,Lorient,Santorini National,Stuttgart,Castellon,Eilat (Ovda),Sofia,Amsterdam
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1457,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1261,1123,-1,-1,-1,-1,-1,-1,-1,-1,-1,268,1058,-1,2074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,844,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,404,-1,-1,-1,-1,-1,-1,-1,299,-1,2407,-1,-1,-1,1797,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1634,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,218,-1,-1,-1,-1,-1
-1,1974,-1,765,-1,-1,-1,-1,-1,-1,-1,783,1273,-1,-1,831,-1,-1,-1,-1,-1,-1,1083,-1,-1,1522,907,-1,-1,-1,-1,-1,-1,-1,1132,-1,876,-1,1035,-1,-1,-1,-1,-1,-1,-1,-1,1485,-1,1676,-1,-1,-1,1307,-1,-1,847,1027,-1,-1,-1,-1,-1,2031,-1,-1,-1,-1,-1,-1,-1,276,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2174,1388,-1,-1,-1,-1,-1,241,1379,-1,-1,-1,-1,-1,-1,-1,-1,831,-1,-1,-1,-1,2203,898,-1,-1,-1,-1,-1,-1,-1,-1,-1,1653,-1,-1,201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,883,539,-1,-1,-1,1185,-1,809,-1,1504,-1,-1,2194,2245,-1,-1,-1,-1,-1,-1,-1,625,-1,947,-1,-1,578,2258,-1,-1,-1,1869,-1,-1,865,-1,-1,-1,-1,-1,1492,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,869,-1,-1,-1,694,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1576,-1,-1,-1,-1,-1,-1,-1,-1,-1,465,-1,1509,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1538,-1,-1,-1,493,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1274,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017,-1,-1,-1,-1,-1,-1,-1,525,-1,-1,-1,-1,-1,-1,-1,-1,-1,707,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1838,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,977,-1,724,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,929,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,2757,-1,1549,572,1179,-1,1457,783,869,-1,-1,-1,-1,1119,-1,-1,-1,822,760,-1,1111,-1,-1,633,755,707,-1,-1,-1,716,-1,-1,1072,607,1656,-1,1047,659,957,1015,-1,-1,-1,-1,-1,-1,1433,-1,-1,1224,-1,716,1126,-1,-1,-1,1805,-1,-1,-1,-1,-1,2815,-1,-1,-1,-1,-1,-1,508,1019,1751,-1,1401,896,-1,-1,-1,-1,818,-1,-1,-1,-1,-1,-1,1724,-1,2957,-1,2086,-1,-1,-1,1219,-1,1212,-1,1162,-1,-1,-1,-1,-1,-1,-1,1606,709,-1,-1,1536,1559,1494,-1,-1,1290,-1,-1,-1,-1,-1,-1,-1,-1,887,879,-1,-1,-1,507,-1,2185,-1,-1,-1,1847,1589,-1,1525,-1,1471,1098,-1,1218,-1,977,924,1585,-1,795,-1,-1,-1,3025,-1,1829,-1,1967,-1,893,-1,-1,-1,-1,-1,1079,-1,1485,-1,-1,-1,1095,802,-1,-1,-1,971,-1,-1,1124,-1,1345,-1,-1,-1,-1,-1,-1,-1,-1
-1,2790,-1,1767,-1,1578,-1,-1,1273,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1423,-1,-1,-1,1324,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,321,-1,-1,-1,-1,-1,-1,-1,1784,-1,-1,-1,-1,-1,-1,-1,2849,1351,-1,-1,-1,-1,-1,-1,1529,-1,-1,-1,1515,1454,1712,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2951,-1,-1,-1,-1,-1,-1,-1,-1,1633,2242,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1133,-1,-1,-1,1475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2978,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,899,-1,-1,-1,-1,-1,-1,-1,-1,1160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,945,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,2356,-1,2071,-1,-1,-1,-1,-1,1119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1154,-1,-1,-1,-1,-1,-1,-1,1961,-1,2519,1570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1606,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2247,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1861,-1,-1,-1,1343,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,724,-1,-1,-1,-1,-1,-1,-1,3698,-1,-1,-1,-1,-1,-1,-1,-1,-1,1142,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,2795,-1,1589,498,1206,-1,-1,831,694,-1,-1,-1,-1,-1,-1,948,-1,-1,584,-1,1287,-1,-1,-1,-1,884,-1,-1,-1,615,-1,-1,-1,-1,1480,-1,-1,834,-1,847,-1,-1,-1,-1,-1,-1,1610,-1,1635,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1035,1582,-1,-1,887,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2998,-1,-1,-1,-1,-1,1295,-1,1389,-1,1002,-1,-1,-1,-1,-1,-1,-1,-1,873,-1,-1,-1,1662,-1,-1,-1,1172,-1,-1,-1,-1,-1,-1,-1,-1,896,722,-1,-1,-1,-1,-1,-1,-1,-1,-1,1679,-1,-1,-1,-1,-1,-1,-1,-1,-1,1154,748,1640,-1,887,-1,-1,-1,3072,-1,-1,-1,-1,-1,743,-1,-1,-1,-1,-1,1121,-1,-1,-1,-1,-1,1116,840,-1,-1,-1,-1,-1,-1,1236,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1126,-1,735,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,759,967,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,787,-1,930,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1582,-1,1393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1048,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2784,-1,-1,-1,-1,-1,-1,-1,-1,1448,2110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1298,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2815,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,2092,-1,1791,-1,-1,-1,-1,-1,822,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1717,-1,2288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1001,-1,847,-1,-1,-1,-1,-1,2204,-1,-1,-1,-1,-1,-1,-1,3304,-1,-1,-1,-1,1318,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2094,-1,3425,-1,-1,-1,-1,-1,1678,-1,736,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,813,1852,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1569,-1,-1,500,-1,-1,-1,-1,-1,-1,-1,-1,1057,-1,-1,-1,-1,-1,-1,1755,-1,593,-1,-1,-1,-1,-1,-1,-1,3471,-1,1213,-1,1282,-1,-1,-1,-1,-1,858,-1,-1,-1,1094,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,760,-1,-1,-1,584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1467,-1,-1,-1,687,-1,-1,-1,-1,-1,354,-1,1405,-1,-1,-1,-1,-1,-1,-1,-1,2193,-1,-1,-1,-1,-1,-1,-1,-1,382,-1,1088,-1,-1,-1,-1,-1,-1,-1,741,-1,-1,-1,1225,-1,1014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,619,-1,-1,1375,-1,-1,-1,-1,-1,1417,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,594,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1732,-1,-1,-1,1273,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,865,584,622,-1,1470,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,2654,-1,1641,-1,1466,-1,-1,-1,-1,-1,1111,-1,-1,-1,1287,-1,-1,-1,-1,-1,-1,-1,-1,-1,1642,-1,-1,-1,1005,-1,-1,-1,-1,-1,2767,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,330,-1,-1,-1,767,-1,-1,-1,1650,-1,-1,-1,-1,-1,-1,-1,-1,1454,-1,-1,-1,1133,-1,-1,1427,-1,-1,-1,-1,-1,1818,-1,-1,-1,-1,-1,-1,-1,677,-1,-1,-1,2814,-1,-1,-1,-1,-1,-1,-1,-1,-1,2201,-1,-1,-1,-1,-1,-1,-1,498,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1381,-1,1341,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1737,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2841,-1,-1,-1,-1,-1,-1,-1,-1,-1,1266,-1,1333,-1,-1,-1,-1,-1,1600,1360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1283,-1,-1,-1
-1,-1,-1,1735,-1,1458,-1,-1,1083,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,784,-1,-1,-1,-1,-1,-1,-1,-1,1172,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1717,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1473,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1269,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,644,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,815,-1,1326,-1,-1,774,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,708,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,2180,1096,-1,-1,1261,-1,-1,-1,633,1423,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1112,-1,-1,-1,-1,-1,-1,-1,-1,-1,795,-1,957,-1,-1,-1,-1,-1,-1,-1,-1,1741,-1,1642,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1329,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1517,-1,-1,1317,-1,1851,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1277,-1,-1,-1,536,-1,-1,-1,-1,-1,-1,-1,-1,-1,1203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,1123,1522,-1,-1,755,-1,-1,1154,-1,-1,-1,-1,-1,-1,1642,-1,-1,-1,-1,1281,-1,-1,-1,-1,-1,-1,-1,-1,-1,818,-1,1129,-1,-1,-1,-1,-1,-1,-1,-1,1914,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1973,-1,1653,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,805,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1450,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1578,-1,-1,-1,-1,-1,575,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1016,-1,-1,-1,-1,-1,-1,-1,2364,-1,-1
-1,2640,-1,1517,1093,1260,-1,-1,907,1576,-1,707,-1,-1,-1,884,-1,-1,-1,1467,-1,-1,-1,-1,1112,1281,-1,-1,-1,688,1260,-1,-1,-1,-1,-1,1176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,728,-1,-1,-1,-1,-1,-1,-1,1603,-1,1822,-1,-1,-1,-1,1037,-1,-1,-1,-1,-1,841,-1,-1,-1,-1,-1,-1,1268,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1484,-1,-1,-1,-1,-1,-1,-1,1091,-1,529,-1,-1,-1,-1,-1,-1,-1,-1,1662,-1,-1,-1,-1,1410,1240,-1,-1,-1,-1,1663,-1,-1,-1,-1,-1,-1,-1,1102,1529,-1,-1,900,1214,-1,2157,1860,-1,-1,-1,-1,-1,1235,-1,-1,-1,-1,1908,850,-1,-1,1484,-1,-1,-1,-1,-1,2862,-1,-1,-1,-1,1659,1527,-1,-1,-1,865,-1,1126,-1,1676,-1,-1,-1,1336,1063,-1,-1,1167,899,-1,-1,-1,-1,1132,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,754,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
